legid,class,userid,tripid,start_lat,start_lon,constart,end_lat,end_lon,start_name,start_country,Definition,Start_Place,end_name,end_country,Definition2,motid,leg_distance,worthwhileness_rating,transport_category,campaign,weekday,weekday_class,activity
#24:39565,Leg,IYFqKamhclckUqabBsHOiCNPbcd2,#31:17066,50.832,4.404,50.8324.404,50.832,4.403,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,28,5,walking,BEL,Tuesday,Working_day,Walking
#22:4284,Leg,yXPR9mf9wfMU0yjf89NcbtRMudf1,#32:1738,50.844,4.382,50.8444.382,50.845,4.382,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,51,3.75,walking,BEL,Monday,Working_day,Walking
#25:5652,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#32:2320,50.832,4.34,50.8324.34,50.832,4.341,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,64,3.5,walking,BEL,Wednesday,Working_day,Walking
#25:34858,Leg,4bzY2zv9MLN1bu1u35n1CoGahEY2,#32:14930,50.88,4.416,50.884.416,50.88,4.415,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,67,4,walking,BEL,Friday,Working_day,Walking
#25:17962,Leg,Jk2WYuKqb3b1jZtHN1vpOLA3sjW2,#33:7539,50.849,4.356,50.8494.356,50.849,4.355,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,107,5,walking,BEL,Wednesday,Working_day,Walking
#24:15353,Leg,btU0wMa5UAdVIzaf66s50bdPJOx2,#30:6498,50.843,4.381,50.8434.381,50.843,4.382,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,115,5,walking,BEL,Saturday,Weekend,Walking
#22:22028,Leg,TWq1AUbD1zfNesNCbdLWK1vMhO22,#31:9372,50.849,4.358,50.8494.358,50.85,4.357,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,141,4,walking,BEL,Wednesday,Working_day,Walking
#24:7847,Leg,U5soJC7zkmbkpx0sJN993OUa8Hw2,#32:3228,50.891,4.336,50.8914.336,50.892,4.335,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,149,5,walking,BEL,Saturday,Weekend,Walking
#25:19443,Leg,dzixUVrIRAQy3PJzTU5cfWGDI0s2,#30:8277,50.851,4.401,50.8514.401,50.852,4.402,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,153,4,walking,BEL,Monday,Working_day,Walking
#24:18072,Leg,ySgpbLkmdOeFIbDFT4wIYvv2RvY2,#33:7575,50.853,4.354,50.8534.354,50.854,4.353,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,158,2,walking,BEL,Wednesday,Working_day,Walking
#23:24792,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#32:10506,50.851,4.39,50.8514.39,50.85,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,173,3.5,walking,BEL,Wednesday,Working_day,Walking
#24:28577,Leg,YD1NWKS6MmgyvWhJhtKZvYIVc2l2,#31:12205,50.843,4.384,50.8434.384,50.844,4.384,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,176,5,walking,BEL,Wednesday,Working_day,Walking
#25:8244,Leg,xVmMPhHKRUOFFjghmp6dbVf3UYx2,#31:3423,50.852,4.356,50.8524.356,50.851,4.354,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,179,4,walking,SVK,Tuesday,Working_day,Walking
#22:8629,Leg,xVmMPhHKRUOFFjghmp6dbVf3UYx2,#32:3519,50.856,4.36,50.8564.36,50.857,4.36,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,179,3,walking,SVK,Thursday,Working_day,Walking
#23:20525,Leg,TWq1AUbD1zfNesNCbdLWK1vMhO22,#31:8709,50.85,4.358,50.854.358,50.849,4.358,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,184,4,walking,BEL,Wednesday,Working_day,Walking
#22:20417,Leg,dzixUVrIRAQy3PJzTU5cfWGDI0s2,#33:8565,50.839,4.367,50.8394.367,50.839,4.366,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,190,4,walking,BEL,Thursday,Working_day,Walking
#24:19758,Leg,YD1NWKS6MmgyvWhJhtKZvYIVc2l2,#33:8286,50.849,4.321,50.8494.321,50.848,4.321,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,192,5,walking,BEL,Tuesday,Working_day,Walking
#25:23535,Leg,iO8CmmLFKwhlBzEh0f9Hf2w9iWr2,#32:10039,50.868,4.334,50.8684.334,50.867,4.331,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,193,3,walking,BEL,Monday,Working_day,Walking
#25:20197,Leg,igigwkvk1xfKFR1ySEPkpRTNN862,#30:8637,50.765,4.47,50.7654.47,50.765,4.475,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,198,5,walking,BEL,Thursday,Working_day,Walking
#23:25087,Leg,t9qpQxe8N3gN7NQVHf6FodRYBug1,#31:10705,50.845,4.385,50.8454.385,50.844,4.384,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,201,3,walking,BEL,Thursday,Working_day,Walking
#25:19626,Leg,dzixUVrIRAQy3PJzTU5cfWGDI0s2,#30:8365,50.853,4.387,50.8534.387,50.854,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,201,4,walking,BEL,Tuesday,Working_day,Walking
#22:8516,Leg,IGpJc0Az17bxe4MT6pHDx6lQ3LD2,#32:3481,50.862,4.348,50.8624.348,50.86,4.348,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,212,4,walking,BEL,Thursday,Working_day,Walking
#22:15531,Leg,zXlIdCrAuQhir2WyDvF05sUxpnA2,#31:6517,50.878,4.384,50.8784.384,50.879,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,212,4,walking,BEL,Thursday,Working_day,Walking
#23:19794,Leg,dzixUVrIRAQy3PJzTU5cfWGDI0s2,#32:8308,50.853,4.383,50.8534.383,50.854,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,213,4,walking,BEL,Tuesday,Working_day,Walking
#22:7127,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#30:2955,50.847,4.391,50.8474.391,50.846,4.389,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,214,5,walking,BEL,Friday,Working_day,Walking
#22:24744,Leg,t9qpQxe8N3gN7NQVHf6FodRYBug1,#33:10439,50.845,4.348,50.8454.348,50.847,4.348,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,215,4,walking,BEL,Wednesday,Working_day,Walking
#24:18410,Leg,YD1NWKS6MmgyvWhJhtKZvYIVc2l2,#31:7823,50.864,4.296,50.8644.296,50.863,4.297,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,215,5,walking,BEL,Thursday,Working_day,Walking
#25:37949,Leg,Zj62iyVNq2PEAWH6kVatEsZu5tv1,#30:16425,50.735,4.235,50.7354.235,50.73,4.23,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,228,6,walking,BEL,Saturday,Weekend,Walking
#25:19235,Leg,igigwkvk1xfKFR1ySEPkpRTNN862,#31:8158,50.935,4.035,50.9354.035,50.94,4.035,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,229,5,walking,BEL,Sunday,Weekend,Walking
#22:20146,Leg,CWWoORPnn1brx2KQNfalF3wQrNC2,#32:8459,50.849,4.347,50.8494.347,50.849,4.344,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,237,3,walking,BEL,Tuesday,Working_day,Walking
#24:11824,Leg,O88QbwQ6ghOcPHJ94xPjI230VcB3,#32:4893,50.85,4.392,50.854.392,50.849,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,239,4,walking,BEL,Friday,Working_day,Walking
#24:20863,Leg,Zj62iyVNq2PEAWH6kVatEsZu5tv1,#33:8798,50.93,4.43,50.934.43,50.93,4.425,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,248,5,walking,BEL,Saturday,Weekend,Walking
#24:19818,Leg,CWWoORPnn1brx2KQNfalF3wQrNC2,#31:8392,50.849,4.347,50.8494.347,50.849,4.344,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,252,5,walking,BEL,Monday,Working_day,Walking
#25:20232,Leg,YD1NWKS6MmgyvWhJhtKZvYIVc2l2,#30:8654,50.846,4.378,50.8464.378,50.847,4.38,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,252,5,walking,BEL,Thursday,Working_day,Walking
#25:21587,Leg,CWWoORPnn1brx2KQNfalF3wQrNC2,#33:9145,50.849,4.344,50.8494.344,50.849,4.346,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,254,4,walking,BEL,Monday,Working_day,Walking
#22:15869,Leg,vlBTTWAlYqTwugoby3qyjC9DUI33,#31:6652,50.849,4.401,50.8494.401,50.848,4.399,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,257,5,walking,BEL,Tuesday,Working_day,Walking
#23:20112,Leg,CWWoORPnn1brx2KQNfalF3wQrNC2,#33:8430,50.849,4.344,50.8494.344,50.849,4.347,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,257,3,walking,BEL,Tuesday,Working_day,Walking
